ppdbench_file_name,pdb_id,sequence,chain_id,PLIP_file_name1,uniprot_id,validated
2cch.lig.pdb,2cch,,,,,
2ce8.lig.pdb,2ce8,,,,,
2d0n.lig.pdb,2d0n,,,,,
2drk.lig.pdb,2drk,,,,,
2dyp.lig.pdb,2dyp,,,,,
2fff.lig.pdb,2fff,,,,,
2ffu.lig.pdb,2ffu,,,,,
2fka.lig.pdb,2fka,,,,,
2fmf.lig.pdb,2fmf,,,,,
2fts.lig.pdb,2fts,,,,,
2fvj.lig.pdb,2fvj,,,,,
2ho2.lig.pdb,2ho2,,,,,
2ht9.lig.pdb,2ht9,,,,,
2o02.lig.pdb,2o02,,,,,
2o4j.lig.pdb,2o4j,,,,,
2o9v.lig.pdb,2o9v,,,,,
2oei.lig.pdb,2oei,,,,,
2p0w.lig.pdb,2p0w,,,,,
2p1o.lig.pdb,2p1o,,,,,
2p1t.lig.pdb,2p1t,,,,,
2p54.lig.pdb,2p54,,,,,
2peh.lig.pdb,2peh,,,,,
2pux.lig.pdb,2pux,,,,,
2puy.lig.pdb,2puy,,,,,
2qbx.lig.pdb,2qbx,,,,,
2qos.lig.pdb,2qos,,,,,
2qse.lig.pdb,2qse,,,,,
2r7g.lig.pdb,2r7g,,,,,
2r9q.lig.pdb,2r9q,,,,,
2v8y.lig.pdb,2v8y,,,,,
2vkn.lig.pdb,2vkn,,,,,
2vr3.lig.pdb,2vr3,,,,,
2vwf.lig.pdb,2vwf,,,,,
2w2u.lig.pdb,2w2u,,,,,
2whx.lig.pdb,2whx,,,,,
2xrw.lig.pdb,2xrw,,,,,
2xu7.lig.pdb,2xu7,,,,,
2xvc.lig.pdb,2xvc,,,,,
2zjd.lig.pdb,2zjd,,,,,
3asl.lig.pdb,3asl,,,,,
3awr.lig.pdb,3awr,,,,,
3ayu.lig.pdb,3ayu,,,,,
3bfq.lig.pdb,3bfq,,,,,
3c3r.lig.pdb,3c3r,,,,,
3d32.lig.pdb,3d32,,,,,
3ds4.lig.pdb,3ds4,,,,,
3ery.lig.pdb,3ery,,,,,
3fdo.lig.pdb,3fdo,,,,,
3g2s.lig.pdb,3g2s,,,,,
3gyt.lig.pdb,3gyt,,,,,
3h1z.lig.pdb,3h1z,,,,,
3i5r.lig.pdb,3i5r,,,,,
3ivv.lig.pdb,3ivv,,,,,
3kmr.lig.pdb,3kmr,,,,,
3kuj.lig.pdb,3kuj,,,,,
3kus.lig.pdb,3kus,,,,,
3l0e.lig.pdb,3l0e,,,,,
3ll8.lig.pdb,3ll8,,,,,
3llz.lig.pdb,3llz,,,,,
3obq.lig.pdb,3obq,,,,,
3olf.lig.pdb,3olf,,,,,
3p72.lig.pdb,3p72,,,,,
3p8f.lig.pdb,3p8f,,,,,
3ptl.lig.pdb,3ptl,,,,,
3qis.lig.pdb,3qis,,,,,
3rm1.lig.pdb,3rm1,,,,,
3rqg.lig.pdb,3rqg,,,,,
3sfj.lig.pdb,3sfj,,,,,
3so6.lig.pdb,3so6,,,,,
3tjv.lig.pdb,3tjv,,,,,
3tzy.lig.pdb,3tzy,,,,,
3u9q.lig.pdb,3u9q,,,,,
3up3.lig.pdb,3up3,,,,,
3v2x.lig.pdb,3v2x,,,,,
3vtc.lig.pdb,3vtc,,,,,
3w1b.lig.pdb,3w1b,,,,,
3zqh.lig.pdb,3zqh,,,,,
4b4n.lig.pdb,4b4n,,,,,
4dcb.lig.pdb,4dcb,,,,,
4e34.lig.pdb,4.00E+34,,,,,
4eik.lig.pdb,4eik,,,,,
4ery.lig.pdb,4ery,,,,,
4f14.lig.pdb,4f14,,,,,
4f1z.lig.pdb,4f1z,,,,,
4gq6.lig.pdb,4gq6,,,,,
4gxl.lig.pdb,4gxl,,,,,
4gyw.lig.pdb,4gyw,,,,,
4h4f.lig.pdb,4h4f,,,,,
4hom.lig.pdb,4hom,,,,,
4htp.lig.pdb,4htp,,,,,
4iim.lig.pdb,4iim,,,,,
4j8s.lig.pdb,4j8s,,,,,
4k0u.lig.pdb,4k0u,,,,,
